0000_00.00.07.640-00.00.09.050	In 1989, 
0017_00.00.33.440-00.00.39.740	She is debriefed by her employers, Wayland-Yutani, over the destruction of the ship,
0017_00.00.39.740-00.00.43.910	however, they don't believe her claims that the alien killed her ship's crew and forced her to destroy the ship.
0017_00.00.43.910-00.00.53.080	The exomoon, where the original ship encountered the alien eggs, is now home to a terraforming colony, known as Hadley's Hope.
0017_00.00.53.080-00.00.59.370	When contact is lost with Hadley's Hope, Weyland-Yutuni's representative, Carter Burke and Colonial Marine Lieutenant Gorman
0017_00.00.59.370-00.01.02.325	ask Ripley to accompany them to investigate the disturbance.
0017_00.01.02.325-00.01.06.865	Ripley initially refuses,
0017_00.01.06.865-00.01.09.210	but she changes her mind under the condition that Burke promises to exterminate and not capture any aliens that are found.
0017_00.01.09.210-00.01.12.860	Aboard the spaceship,
0017_00.01.12.860-00.01.20.070	 she is introduced to the ship's android, Bishop, which Ripley is initially hostile towards
0017_00.01.20.070-00.01.23.280	because of her experience with the treacherous android, Ash, from the first film.
0017_00.01.23.280-00.01.25.770	Their dropship finds the colony's deserted.
0017_00.01.25.770-00.01.31.980	Inside, they find makeshift barricades and signs of a struggle, but no bodies.
0017_00.01.31.985-00.01.35.765	They also find 2 live face huggers in a containment tank in the medical lab,
0017_00.01.35.765-00.01.40.915	as well as one survivor, a traumatized young girl, nicknamed Newt, 
0017_00.01.40.915-00.01.42.700	who is hiding in the ventiliation system.
0017_00.01.42.700-00.01.45.620	The crew uses the colony's computer to locate the colonists,
0017_00.01.45.620-00.01.51.950	who are grouped beneath the fusion powered atmosphere processing station.
0017_00.01.51.950-00.01.55.230	When they arrive, however, they find the colonists are cocooned, serving as incubators for the aliens' offspring.
0017_00.01.55.230-00.01.57.990	When the marines kill a newborn alien,
0017_00.01.57.990-00.02.01.370	the aliens are aroused and attack,
0017_00.02.01.370-00.02.04.120	killing and capturing several of the marines.
0017_00.02.04.125-00.02.06.035	When an inexperienced Gorman panics,
0017_00.02.06.035-00.02.08.705	Ripley takes control of their vehicle
0017_00.02.08.705-00.02.11.280	 and rams it through the nest to rescue some of the marines.
0017_00.02.11.280-00.02.13.980	Dropships are sent to recover the survivors,
0017_00.02.13.980-00.02.16.660	but a stowaway alien kills the pilots, 
0017_00.02.16.660-00.02.19.230	causing it to crash into the station.
0017_00.02.19.230-00.02.22.190	The crew barricades themselves inside the colony command center.
0017_00.02.22.195-00.02.28.655	Ripley discovers that Burke deliberately sent colonists to investigate the infested ship, 
0017_00.02.28.655-00.02.32.290	believing he could become wealthy recovering the alien specimens for use as biological weapons.
0017_00.02.32.290-00.02.35.910	Ripley threatens to expose him, 
0017_00.02.35.910-00.02.40.240	but they soon discover that the power plant was damaged by the dropship crash and will soon explode.
0017_00.02.40.240-00.02.47.360	The android, Bishop, volunteers to crawl through several 100 meters of piping conduits to reach the colony's transmitter
0017_00.02.47.360-00.02.49.530	and remotely pilot the ship's remaining dropship to the surface.
0017_00.02.49.530-00.02.56.450	Ripley and the young girl, Newt, find themselves locked in a room with 2 face huggers, which have been released from their tanks.
0017_00.02.56.455-00.03.01.535	Ripley triggers the fire alarm to alert the marines,
0017_00.03.01.535-00.03.03.370	who rescue them and kill the creatures.
0017_00.03.03.370-00.03.18.940	Ripley accuses Burke of releasing the face huggers so that they would impregnate her and Newt, allowing him to smuggle the alien embryos past Earth's quarantine, planning to kill the rest of the marines in hypersleep during the return so that no one could contradict his version of the events.
0017_00.03.18.940-00.03.20.210	Before the marines can execute Burke,
0017_00.03.20.210-00.03.22.940	the electricity is cut
0017_00.03.22.940-00.03.24.905	and aliens assault through the ceiling.
0017_00.03.24.905-00.03.27.565	Burke, Gorman, and other marines are all killed
0017_00.03.27.565-00.03.29.295	and Newt is captured.
0017_00.03.29.295-00.03.32.955	Ripley and an injured marine, named Hicks, 
0017_00.03.32.955-00.03.36.445	reach the android, Bishop, in the second dropship, but Ripley refuses to abandon the young girl, Newt.
0017_00.03.36.445-00.03.41.105	The group arrives at the processing station, 
0017_00.03.41.105-00.03.44.205	allowing a heavily-armed Ripley to enter the hive
0017_00.03.44.205-00.03.45.860	and rescue Newt.
0017_00.03.45.860-00.03.48.980	As they escape, the 2 encounter the alien queen in her egg chamber.
0017_00.03.48.985-00.03.51.035	Pursued by the queen,
0017_00.03.51.035-00.03.55.030	Ripley and Newt rendezvous with Bishop and Hicks on the dropship.
0017_00.03.55.030-00.03.56.350	All 4 escape
0017_00.03.56.350-00.04.00.740	moments before the station explodes with the colony consumed by the nuclear blast.
0017_00.04.00.750-00.04.05.040	On the ship, the group discovers that the alien queen stowed away on the dropship's landing gear.
0017_00.04.05.040-00.04.08.085	The queen emerges and tears Bishop in half.
0017_00.04.08.085-00.04.09.325	The queen then advances on Newt,
0017_00.04.09.325-00.04.14.110	but Ripley fights back using an exosuit
0017_00.04.14.115-00.04.16.545	and expels it through the air lock into space.
0017_00.04.16.545-00.04.20.215	Ripley, Newt, Hicks, and the badly damaged Bishop
0017_00.04.20.215-00.04.22.945	enter hyper sleep for the return trip to Earth.
0018_00.00.27.085-00.00.31.240	The film opens with the Avengers raiding a hydro facility in Segovia,
0018_00.00.31.240-00.00.34.740	commanded by Baron Wolfgang von Strucker
0018_00.00.34.745-00.00.36.820	who's been experimenting on humans 
0018_00.00.36.820-00.00.39.490	using the scepter previously wielded by Loki.
0018_00.00.39.490-00.00.45.740	They encounter test subjects, Pietro and Wanda Maximoff, who are Quicksilver and Scarlet Witch,
0018_00.00.45.740-00.00.47.480	as well as apprehending Strucker and Loki's scepter.
0018_00.00.47.510-00.00.55.190	As a quick side note, these are actually the kids of Magneto from the X-Men Universe but due to licensing issues they cannot refer to this.
0018_00.00.55.205-00.00.58.780	Stark and Banner, The Hulk, discover an artificial intelligence within the scepter's gem
0018_00.00.58.780-00.01.04.820	and secretly use it to complete Stark's Ultron Global Defense Program.
0018_00.01.04.830-00.01.08.660	It creates a sentient being who believes he must eradicate humanity to save Earth.
0018_00.01.08.670-00.01.10.370	It destroys Stark's AI Jarvis and
0018_00.01.10.385-00.01.13.395	attacks the Avengers at their headquarters.
0018_00.01.13.445-00.01.16.995	Ultron escapes with the scepter and
0018_00.01.16.995-00.01.20.495	uses the resources at the Hydra base to upgrade his body and build an army of robot drones.
0018_00.01.20.495-00.01.21.950	Having killed Strucker, 
0018_00.01.21.950-00.01.24.480	he recruits the Maximoff siblings and
0018_00.01.24.480-00.01.27.030	sets off to obtain Wakandan vibranium.
0018_00.01.27.030-00.01.29.120	The Avengers arrive and attack Ultron,
0018_00.01.29.120-00.01.32.660	but the Scarlet Witch subdues them with haunting visions.
0018_00.01.32.670-00.01.35.570	The team goes into hiding in a safe house, reeling from the visions.
0018_00.01.35.585-00.01.37.335	Thor departs
0018_00.01.37.335-00.01.42.120	to consult Dr. Erik Selvig on the meaning of the apocalyptic future he saw in his hallucination.
0018_00.01.42.120-00.01.48.780	Nick Fury arrives and encourages the rest of the team not to break apart and to form a plan to stop Ultron.
0018_00.01.48.800-00.01.50.080	Meanwhile, Ultron forces the teens' friend, Dr. Helen Cho, 
0018_00.01.50.085-00.01.51.815	to use her synthetic tissue technology
0018_00.01.51.815-00.01.54.105	together with the vibranium
0018_00.01.54.105-00.01.55.660	and the scepter's gem
0018_00.01.55.660-00.01.59.600	to perfect a new body for him.
0018_00.01.59.600-00.02.01.580	AS Ultron uploads himself into the body,
0018_00.02.01.585-00.02.05.615	the Scarlet Witch reads his mind,
0018_00.02.05.615-00.02.06.665	discovering his plan for human extinction.
0018_00.02.06.670-00.02.07.800	The Maximoff siblings turn against Ultron.
0018_00.02.07.800-00.02.11.290	Some of the team find Ultron and 
0018_00.02.11.290-00.02.13.160	retrieve the synthetic body.
0018_00.02.13.160-00.02.15.520	The Ultron captures Black Widow.
0018_00.02.15.530-00.02.19.900	The team fight amongst themselves
0018_00.02.19.905-00.02.21.055	while Stark secretly uploads Jarvis, who hid from Ultron inside the internet, 
0018_00.02.21.055-00.02.23.165	into the synthetic body.
0018_00.02.23.185-00.02.26.320	Thor returns to help activate the body,
0018_00.02.26.320-00.02.31.170	explaining that the gem on its brow is from the infinity stones and was part of his vision.
0018_00.02.31.170-00.02.36.790	This vision and the Maximoff siblings accompany the Avengers' return to Segovia,
0018_00.02.36.790-00.02.40.200	where Ultron used the remaining vibranium to build a machine
0018_00.02.40.200-00.02.45.900	to lift a large part of the capital skyward, intending to crash it into the ground 
0018_00.02.45.905-00.02.47.585	to cause global extinction.
0018_00.02.47.590-00.02.49.730	Banner rescuse Black Widow
0018_00.02.49.735-00.02.51.945	while the Avengers fight Ultron's army.
0018_00.02.51.950-00.02.53.890	Fury and others evacuate civilians.
0018_00.02.53.905-00.02.57.880	Quicksilver dies when he shields Hawkeye from gunfire
0018_00.02.57.880-00.03.03.480	and a vengeful Scarlet Witch abandons her post to destroy Ultron's primary body,
0018_00.03.03.485-00.03.04.365	which allows one of his drones to activate the machine.
0018_00.03.04.370-00.03.05.870	The city plummets
0018_00.03.05.885-00.03.11.615	but Stark and Thor overload the machine and shatter the land mass.
0018_00.03.11.615-00.03.14.725	In the aftermath, the Hulk departs
0018_00.03.14.725-00.03.18.855	while the vision confronts Ultron's last remaining body.
0018_00.03.18.860-00.03.21.280	Later, the Avengers establish a new base.
0018_00.03.21.280-00.03.23.610	Thor returns to Asgard, Stark leaves,
0018_00.03.23.620-00.03.25.390	Hawkeye retires,
0018_00.03.25.390-00.03.27.480	and Captain America, with Black Widow,
0018_00.03.27.480-00.03.28.700	prepare to train new Avengers.
0018_00.03.28.710-00.03.36.310	In a mid credits scene, we see Thanos vow to retrieve the Infinity Stones for himself, hinting at the next Avengers film.
0019_00.00.17.200-00.00.19.460	The film is set in Hill Valley, California
0019_00.00.19.465-00.00.25.150	 and follows a stereotypical 80's teenager named Marty McFly, played by Michael J. Fox.
0019_00.00.25.150-00.00.31.180	Marty has a girlfriend named Jennifer who isn't featured all that much in this film but is referred to throughout the series.
0019_00.00.31.200-00.00.33.280	Marty lives at home with his family
0019_00.00.33.290-00.00.35.990	where his father, George McFly,
0019_00.00.35.990-00.00.38.890	is constantly bullied and berated by his supervisor, Biff Tannen.
0019_00.00.38.900-00.00.43.570	George is a sheepish and feeble man and bows to pretty much whatever Biff tells him to do.
0019_00.00.43.580-00.00.51.860	Marty's Mom, Lorraine is an overweight woman who seems to be more focused on the past, such as how she met George after she accidentally hit him with her car.
0019_00.00.51.870-00.01.03.400	An important feature that continues throughout the most of these films is multiple actors play multiple roles, depending on what year that portion of the film is taking place.
0019_00.01.03.400-00.01.07.320	We also meet Marty's friend, Emmett Brown, typically referred to as Doc.
0019_00.01.07.320-00.01.13.160	Doc is a scientist who is always working on some crazy and wacky experiment and Marty seems to help out when he can.
0019_00.01.13.170-00.01.16.670	Marty ends up later meeting Doc in a parking lot
0019_00.01.16.670-00.01.21.070	where Doc shows Marty the DeLorean that he's converted into a time machine.
0019_00.01.21.070-00.01.23.580	The DeLorean utilizes a flux capacitor
0019_00.01.23.580-00.01.27.720	which is powered by plutonium which Doc stole from a group of Libyan terrorists.
0019_00.01.27.720-00.01.30.080	While running some initial tests on the vehicle, however,
0019_00.01.30.080-00.01.32.590	the Libyan terrorists show up and gun down Doc.
0019_00.01.32.600-00.01.34.960	Marty jumps into the DeLorean to avoid getting shot himself,
0019_00.01.34.960-00.01.44.190	getting up to the famous 88 miles per hour, and gets sent back in time to November fifth, 1955.
0019_00.01.44.205-00.01.48.035	Now in the year nineteen fifty-five, Marty runs into a young George McFly,
0019_00.01.48.035-00.01.50.975	who is being bullied by a young Biff Tannen.
0019_00.01.50.980-00.01.53.300	After Marty saves George from Biff,
0019_00.01.53.300-00.01.57.210	Marty has to save George again from being hit by a car,
0019_00.01.57.210-00.01.59.180	which ends up knocking out Marty instead.
0019_00.01.59.180-00.02.09.580	Marty begins to wake up and finds himself in a bedroom and begins talking about how he had a strange dream of being sent back into the past, thinking he is being comforted by his 1985 mother.
0019_00.02.09.595-00.02.15.685	Instead, however, he is actually being comforted by his 1955 mother, Lorraine, who is about the same age as him
0019_00.02.15.685-00.02.18.230	and is somewhat aggressively flirting with him.
0019_00.02.18.230-00.02.29.190	Marty is mortified, not only by the fact that he is being hit on by a younger version of his Mom, but he also realizes that he's ruined the opportunity where his Father originally met his Mother.
0019_00.02.29.200-00.02.32.650	Marty eventually finds the 1955 version of Doc Brown
0019_00.02.32.650-00.02.37.180	and Marty convinces him that he is actually from the year nineteen eighty-five.
0019_00.02.37.190-00.02.44.680	Marty expresses that he needs more plutonium so he can go back to his original time.
0019_00.02.44.685-00.02.47.565	However, Doc explains that getting plutonium is not a very easy task
0019_00.02.47.565-00.02.52.575	and they decide to use the famous historical lightning strike that will hit the clock tower later this week.
